GO:0000304	response to singlet oxygen
GO:0001763	morphogenesis of a branching structure
GO:0001768	establishment of T cell polarity
GO:0001771	immunological synapse formation
GO:0001772	immunological synapse
GO:0001773	myeloid dendritic cell activation
GO:0001776	leukocyte homeostasis
GO:0001777	T cell homeostatic proliferation
GO:0001780	neutrophil homeostasis
GO:0001781	neutrophil apoptotic process
GO:0001782	B cell homeostasis
GO:0001783	B cell apoptotic process
GO:0001788	antibody-dependent cellular cytotoxicity
GO:0001798	positive regulation of type IIa hypersensitivity
GO:0001805	positive regulation of type III hypersensitivity
GO:0001806	type IV hypersensitivity
GO:0001807	regulation of type IV hypersensitivity
GO:0001808	negative regulation of type IV hypersensitivity
GO:0001809	positive regulation of type IV hypersensitivity
GO:0001811	negative regulation of type I hypersensitivity
GO:0001812	positive regulation of type I hypersensitivity
GO:0001820	serotonin secretion
GO:0001846	opsonin binding
GO:0001865	NK T cell differentiation
GO:0001866	NK T cell proliferation
GO:0001867	complement activation, lectin pathway
GO:0001874	(1->3)-beta-D-glucan immune receptor activity
GO:0001875	lipopolysaccharide immune receptor activity
GO:0001909	leukocyte mediated cytotoxicity
GO:0001912	positive regulation of leukocyte mediated cytotoxicity
GO:0001913	T cell mediated cytotoxicity
GO:0001914	regulation of T cell mediated cytotoxicity
GO:0001915	negative regulation of T cell mediated cytotoxicity
GO:0001916	positive regulation of T cell mediated cytotoxicity
GO:0001922	B-1 B cell homeostasis
GO:0001923	B-1 B cell differentiation
GO:0001935	endothelial cell proliferation
GO:0001945	lymph vessel development
GO:0001946	lymphangiogenesis
GO:0002096	polkadots
GO:0002158	osteoclast proliferation
GO:0002204	somatic recombination of immunoglobulin genes involved in immune response
GO:0002208	somatic diversification of immunoglobulins involved in immune response
GO:0002218	activation of innate immune response
GO:0002224	toll-like receptor signaling pathway
GO:0002227	innate immune response in mucosa
GO:0002228	natural killer cell mediated immunity
GO:0002230	positive regulation of defense response to virus by host
GO:0002232	leukocyte chemotaxis involved in inflammatory response
GO:0002244	hematopoietic progenitor cell differentiation
GO:0002246	wound healing involved in inflammatory response
GO:0002248	connective tissue replacement involved in inflammatory response wound healing
GO:0002250	adaptive immune response
GO:0002251	organ or tissue specific immune response
GO:0002253	activation of immune response
GO:0002260	lymphocyte homeostasis
GO:0002263	cell activation involved in immune response
GO:0002264	endothelial cell activation involved in immune response
GO:0002265	astrocyte activation involved in immune response
GO:0002268	follicular dendritic cell differentiation
GO:0002269	leukocyte activation involved in inflammatory response
GO:0002270	plasmacytoid dendritic cell activation
GO:0002273	plasmacytoid dendritic cell differentiation
GO:0002274	myeloid leukocyte activation
GO:0002276	basophil activation involved in immune response
GO:0002277	myeloid dendritic cell activation involved in immune response
GO:0002280	monocyte activation involved in immune response
GO:0002281	macrophage activation involved in immune response
GO:0002282	microglial cell activation involved in immune response
GO:0002283	neutrophil activation involved in immune response
GO:0002285	lymphocyte activation involved in immune response
GO:0002286	T cell activation involved in immune response
GO:0002287	alpha-beta T cell activation involved in immune response
GO:0002291	T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell
GO:0002292	T cell differentiation involved in immune response
GO:0002296	T-helper 1 cell lineage commitment
GO:0002300	CD8-positive, alpha-beta intraepithelial T cell differentiation
GO:0002302	CD8-positive, alpha-beta T cell differentiation involved in immune response
GO:0002305	CD8-positive, gamma-delta intraepithelial T cell differentiation
GO:0002309	T cell proliferation involved in immune response
GO:0002312	B cell activation involved in immune response
GO:0002313	mature B cell differentiation involved in immune response
GO:0002314	germinal center B cell differentiation
GO:0002315	marginal zone B cell differentiation
GO:0002316	follicular B cell differentiation
GO:0002317	plasma cell differentiation
GO:0002319	memory B cell differentiation
GO:0002320	lymphoid progenitor cell differentiation
GO:0002322	B cell proliferation involved in immune response
GO:0002323	natural killer cell activation involved in immune response
GO:0002326	B cell lineage commitment
GO:0002327	immature B cell differentiation
GO:0002328	pro-B cell differentiation
GO:0002329	pre-B cell differentiation
GO:0002331	pre-B cell allelic exclusion
GO:0002333	transitional one stage B cell differentiation
GO:0002334	transitional two stage B cell differentiation
GO:0002335	mature B cell differentiation
GO:0002336	B-1 B cell lineage commitment
GO:0002337	B-1a B cell differentiation
GO:0002344	B cell affinity maturation
GO:0002352	B cell negative selection
GO:0002358	B cell homeostatic proliferation
GO:0002360	T cell lineage commitment
GO:0002361	CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation
GO:0002362	CD4-positive, CD25-positive, alpha-beta regulatory T cell lineage commitment
GO:0002363	alpha-beta T cell lineage commitment
GO:0002364	NK T cell lineage commitment
GO:0002365	gamma-delta T cell lineage commitment
GO:0002366	leukocyte activation involved in immune response
GO:0002367	cytokine production involved in immune response
GO:0002369	T cell cytokine production
GO:0002373	plasmacytoid dendritic cell cytokine production
GO:0002376	immune system process
GO:0002381	immunoglobulin production involved in immunoglobulin-mediated immune response
GO:0002383	immune response in brain or nervous system
GO:0002384	hepatic immune response
GO:0002385	mucosal immune response
GO:0002395	immune response in nasopharyngeal-associated lymphoid tissue
GO:0002407	dendritic cell chemotaxis
GO:0002408	myeloid dendritic cell chemotaxis
GO:0002410	plasmacytoid dendritic cell chemotaxis
GO:0002412	antigen transcytosis by M cells in mucosal-associated lymphoid tissue
GO:0002415	immunoglobulin transcytosis in epithelial cells mediated by polymeric immunoglobulin receptor
GO:0002418	immune response to tumor cell
GO:0002429	immune response-activating cell surface receptor signaling pathway
GO:0002430	complement receptor mediated signaling pathway
GO:0002431	Fc receptor mediated stimulatory signaling pathway
GO:0002432	granuloma formation
GO:0002434	immune complex clearance
GO:0002437	inflammatory response to antigenic stimulus
GO:0002438	acute inflammatory response to antigenic stimulus
GO:0002439	chronic inflammatory response to antigenic stimulus
GO:0002443	leukocyte mediated immunity
GO:0002446	neutrophil mediated immunity
GO:0002447	eosinophil mediated immunity
GO:0002448	mast cell mediated immunity
GO:0002455	humoral immune response mediated by circulating immunoglobulin
GO:0002456	T cell mediated immunity
GO:0002457	T cell antigen processing and presentation
GO:0002458	peripheral T cell tolerance induction
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
GO:0002467	germinal center formation
GO:0002468	dendritic cell antigen processing and presentation
GO:0002507	tolerance induction
GO:0002508	central tolerance induction
GO:0002509	central tolerance induction to self antigen
GO:0002517	T cell tolerance induction
GO:0002518	lymphocyte chemotaxis across high endothelial venule
GO:0002520	immune system development
GO:0002521	leukocyte differentiation
GO:0002522	leukocyte migration involved in immune response
GO:0002523	leukocyte migration involved in inflammatory response
GO:0002524	hypersensitivity
GO:0002525	acute inflammatory response to non-antigenic stimulus
GO:0002526	acute inflammatory response
GO:0002528	regulation of vascular permeability involved in acute inflammatory response
GO:0002532	production of molecular mediator involved in inflammatory response
GO:0002534	cytokine production involved in inflammatory response
GO:0002536	respiratory burst involved in inflammatory response
GO:0002537	nitric oxide production involved in inflammatory response
GO:0002539	prostaglandin production involved in inflammatory response
GO:0002540	leukotriene production involved in inflammatory response
GO:0002541	activation of plasma proteins involved in acute inflammatory response
GO:0002544	chronic inflammatory response
GO:0002548	monocyte chemotaxis
GO:0002551	mast cell chemotaxis
GO:0002552	serotonin secretion by mast cell
GO:0002553	histamine secretion by mast cell
GO:0002561	basophil degranulation
