GO:0000002	mitochondrial genome maintenance
GO:0000172	ribonuclease MRP complex
GO:0000266	mitochondrial fission
GO:0000274	mitochondrial proton-transporting ATP synthase, stator stalk
GO:0000275	mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
GO:0000422	autophagy of mitochondrion
GO:0000423	mitophagy
GO:0000957	mitochondrial RNA catabolic process
GO:0000958	mitochondrial mRNA catabolic process
GO:0000959	mitochondrial RNA metabolic process
GO:0000961	negative regulation of mitochondrial RNA catabolic process
GO:0000962	positive regulation of mitochondrial RNA catabolic process
GO:0000963	mitochondrial RNA processing
GO:0000964	mitochondrial RNA 5'-end processing
GO:0000965	mitochondrial RNA 3'-end processing
GO:0000995	RNA polymerase III general transcription initiation factor activity
GO:0001018	mitochondrial promoter sequence-specific DNA binding
GO:0001405	PAM complex, Tim23 associated import motor
GO:0001836	release of cytochrome c from mitochondria
GO:0001844	protein insertion into mitochondrial membrane involved in apoptotic signaling pathway
GO:0002169	3-methylcrotonyl-CoA carboxylase complex, mitochondrial
GO:0003374	dynamin family protein polymerization involved in mitochondrial fission
GO:0004129	cytochrome-c oxidase activity
GO:0004479	methionyl-tRNA formyltransferase activity
GO:0004739	pyruvate dehydrogenase (acetyl-transferring) activity
GO:0005739	mitochondrion
GO:0005740	mitochondrial envelope
GO:0005741	mitochondrial outer membrane
GO:0005742	mitochondrial outer membrane translocase complex
GO:0005743	mitochondrial inner membrane
GO:0005744	TIM23 mitochondrial import inner membrane translocase complex
GO:0005745	m-AAA complex
GO:0005746	mitochondrial respirasome
GO:0005747	mitochondrial respiratory chain complex I
GO:0005749	mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)
GO:0005750	mitochondrial respiratory chain complex III
GO:0005751	mitochondrial respiratory chain complex IV
GO:0005753	mitochondrial proton-transporting ATP synthase complex
GO:0005754	mitochondrial proton-transporting ATP synthase, catalytic core
GO:0005757	mitochondrial permeability transition pore complex
GO:0005758	mitochondrial intermembrane space
GO:0005759	mitochondrial matrix
