GO:0007275	multicellular organism development
GO:0007568	aging
GO:0010259	multicellular organism aging
GO:0014732	skeletal muscle atrophy
GO:0014889	muscle atrophy
GO:0014891	striated muscle atrophy
GO:0035632	mitochondrial prohibitin complex
GO:0035985	senescence-associated heterochromatin focus
GO:0050793	regulation of developmental process
GO:0051093	negative regulation of developmental process
GO:0051094	positive regulation of developmental process
GO:0090398	cellular senescence
GO:0090399	replicative senescence
GO:0090400	stress-induced premature senescence
GO:0090402	oncogene-induced cell senescence
GO:0090403	oxidative stress-induced premature senescence
GO:1990636	reproductive senescence
GO:2000772	regulation of cellular senescence
GO:2000773	negative regulation of cellular senescence
GO:2000774	positive regulation of cellular senescence
